input_index,url,name_bg,brand_name,status,confidence,warnings
292,https://www.ellegemdesigns.com/product-152/minimalistichna-grivna-s-estestvena-perla,Минималистична гривна с естествена перла,Elle Gem Designs,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
293,https://www.ellegemdesigns.com/product-145/kolie-s-turmalin-srebarna-zakopchalka,"Колие с турмалин, сребърна закопчалка",Elle Gem Designs,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
294,https://www.ellegemdesigns.com/product-141/elastichna-grivna-s-hematit-labradorit-i-vulkanichen-kamak,"Еластична гривна с хематит, лабрадорит и вулканичен камък",Elle Gem Designs,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
295,https://www.ellegemdesigns.com/product-136/kolie-s-cheren-turmalin,Колие с черен турмалин,Elle Gem Designs,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
296,https://www.ellegemdesigns.com/product-126/grivna-za-glezen-s-kamani-na-chakrite,Гривна за глезен с камъни на чакрите.,Elle Gem Designs,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
297,https://www.ellegemdesigns.com/product-125/grivna-s-labradorit-5-mm-manista,Гривна с лабрадорит 5 мм мъниста.,Elle Gem Designs,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
298,https://www.ellegemdesigns.com/product-85/elastichna-grivna-s-tsitrin-cheren-oniks-i-hematit-uspeh-zashtita-shtastie-blagodenstvie,"Еластична гривна с цитрин, черен оникс и хематит. Успех - Защита - Щастие - Благоденствие",Elle Gem Designs,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
299,https://www.ellegemdesigns.com/product-36/prasten-halka-ot-cheren-oniks-uspeh-fokus-zashtita-korenna-chakra,Пръстен халка от черен оникс. Успех - Фокус - Защита - Коренна чакра.,Elle Gem Designs,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
300,https://www.ellegemdesigns.com/product-11/grivna-s-cheren-oniks-i-hematit-zashtita-fokus-uspeh-korenna-chakra,Гривна с черен оникс и хематит. Защита - Фокус - Успех - Коренна чакра,Elle Gem Designs,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
301,https://www.artdesignbeni.com/rachno-izraboteni-obetzi-tiurkoazen-shifon.html,Ръчно изработени обеци Тюркоазен шифон,Art Design Beni,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
302,https://www.artdesignbeni.com/koprineni-obetzi-mentova-neznost.html,Копринени обеци Ментова нежност,Art Design Beni,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
303,https://www.artdesignbeni.com/koprineni-obetzi-biala-perlena-tzvetnost.html,Копринени обеци Бяла перлена цветност,Art Design Beni,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
304,https://www.artdesignbeni.com/avtorska-maslena-kartina-bezkrai.html,Авторска маслена картина Безкрай,Art Design Beni,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
305,https://www.artdesignbeni.com/avtorska-maslena-kartina-ustrem.html,Авторска маслена картина Устрем,Art Design Beni,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
306,https://www.artdesignbeni.com/butikova-art-interiorna-lampa-ot-driftwood-ot-estestveno-darvo.html,Бутикова арт интериорна лампа от driftwood от естествено дърво,Art Design Beni,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
307,https://www.artdesignbeni.com/butikova-art-interiorna-lampa-ot-driftwood-s-artistichen-harakter.html,Бутикова арт интериорна лампа от driftwood с артистичен характер,Art Design Beni,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
308,https://www.artdesignbeni.com/kutiia-sartze-sas-sapuneni-rozi-pliusheno-meche-i-shokolad-merci.html,"Кутия сърце със сапунени рози, плюшено мече и шоколад Merci",Art Design Beni,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
